A4
410
33804.79
69,0.0,6,2
228,0.0,2,7
180,0.0,2,7
69,56.0,3,2
189,0.0,1,2
222,0.0,2,2
60,0.0,1,4
63,0.0,2,6
267,0.0,2,8
234,0.0,3,2
159,0.0,1,2
42,0.0,2,6
135,56.0,6,2
102,0.0,2,7
108,0.0,2,9
135,0.0,8,2
282,0.0,1,2
6,92.67,9,2
120,0.0,2,2
99,0.0,1,3
0,0.0,2,8
243,0.0,2,2
39,0.0,1,2
114,0.0,2,9
273,0.0,2,8
255,0.0,2,3
219,0.0,1,2
78,56.0,3,8
234,142.67,3,10
162,0.0,6,2
48,0.0,4,10
93,0.0,2,8
204,60.0,4,10
33,0.0,2,2
216,60.0,1,2
171,71.0,3,10
261,0.0,2,10
204,0.0,5,2
156,56.0,1,2
249,0.0,2,10
162,71.0,3,10
153,56.0,1,3
6,159.78,4,10
192,0.0,2,2
186,0.0,1,4
279,0.0,1,4
6,0.0,9,2
198,0.0,2,10
87,0.0,2,9
126,0.0,3,10
